Time (s),Amplitude (V)
8.91364345426183e-05,0.0
8.91464341426343e-05,0.0
8.91564337426503e-05,0.0
8.91664333426663e-05,0.0
8.91764329426823e-05,0.0
8.91864325426983e-05,0.0
8.919643214271429e-05,0.0
8.92064317427303e-05,0.0
8.921643134274629e-05,0.0
8.92264309427623e-05,0.0
8.923643054277829e-05,0.016666666666666607
8.924643014279429e-05,0.0
8.92564297428103e-05,0.016666666666666607
8.926642934282629e-05,0.0
8.92764289428423e-05,0.0
8.928642854285829e-05,0.0
8.92964281428743e-05,0.0
8.930642774289029e-05,0.0
8.931642734290628e-05,0.0
8.932642694292229e-05,0.0
8.933642654293829e-05,0.0
8.934642614295429e-05,0.0
8.935642574297029e-05,0.0
8.936642534298628e-05,0.016666666666666607
8.937642494300229e-05,0.0
8.938642454301828e-05,0.0
8.939642414303429e-05,0.0
8.940642374305028e-05,0.016666666666666607
8.941642334306628e-05,0.0
8.942642294308228e-05,0.0
8.943642254309828e-05,0.0
8.944642214311429e-05,0.0
8.945642174313028e-05,0.0
8.946642134314627e-05,0.0
8.947642094316228e-05,0.0
8.948642054317827e-05,0.0
8.949642014319428e-05,0.0
8.950641974321028e-05,0.0
8.951641934322628e-05,0.0
8.952641894324228e-05,0.0
8.953641854325827e-05,0.0
8.954641814327428e-05,0.0
8.955641774329027e-05,0.0
8.956641734330628e-05,0.0
8.957641694332227e-05,0.0
8.958641654333827e-05,0.0
8.959641614335427e-05,0.0
8.960641574337027e-05,0.0
8.961641534338627e-05,0.0
8.962641494340227e-05,0.0
8.963641454341826e-05,0.0
8.964641414343427e-05,0.0
8.965641374345026e-05,0.0
8.966641334346627e-05,0.0
8.967641294348227e-05,0.0
8.968641254349826e-05,0.0
8.969641214351427e-05,0.0
8.970641174353026e-05,0.0
8.971641134354627e-05,0.0
8.972641094356226e-05,0.0
8.973641054357827e-05,0.0
8.974641014359426e-05,0.0
8.975640974361026e-05,0.0
8.976640934362626e-05,0.0
8.977640894364226e-05,0.0
